ardf_num,mrds_num,site,location,quad_250,quad_63360,comm_main,comm_other,ore,gangue,site_type,status,production,dep_model,model_code,alteration,geol_desc,work_expl,comments,expand_ref,rept_names,rept_date,age,rept_aff,prod_notes,reserves,prime_ref,latitude,longitude,datum,source_datum
NM013,10307908,Unnamed (near American Creek),"The occurrence is on hill 375 about 1.5 miles west-northwest of the confluence of American Creek and Sinuk River.  It is in the SW1/4 section 18, T. 8 S., R. 35 W., Kateel River Meridian.  The location of this occurrence is taken from figure 3 of Mulligan",NM,D-2,Fe,,"Goethite, hematite, limonite, pyrite (?), pyrolusite","Calcite, dolomite (?), quartz",Occurrence,Probably inactive,None,"Carbonate-hosted, iron oxide deposit.",,Probable dolomitization and oxidation.,"This occurrence near lower American Creek was shown on figure 3 of Mulligan and Hess (1965, but no other data are available for this specific occurrence.  It appears to be the northern-most of a group of iron-rich prospects that include NM014, NM017, NM01",Some shallow prospecting pits may be present here.,,"Brobst, D.A., Pinckney, D.M., and Sainsbury, C.L., 1971, Geology and geochemistry of the Sinuk River barite deposits, Seward Peninsula, Alaska:  U.S. Geological Survey Professional Paper 750-D, p. D1-D8.|Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D",C.C. Hawley and Travis L. Hudson,10/22/1999,Late Cretaceous or Early Tertiary; post mid-Cretaceous metamorphism.,"Hawley Resource Group, Inc.",,,"Mulligan and Hess, 1965",64.792037,-165.853879,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM014,A012777,American,The American prospect is on a north-sloping  face of a hill about 1 mile south of American Creek at an elevation of 600 feet.  The prospect is about 2 miles west of a south-flowing part of Sinuk River and 2.3 miles northeast of a low divide near hill 660,NM,D-2,Fe,"Au, Mn, Zn","Goethite, limonite, pyrite","Dolomite, quartz",Prospect,Inactive,None,Iron deposit localized by marble-schist contact and intersecting fault.,,"Dolomitization, silicification, and oxidation.","Extensive amounts of limonite occur near a contact between marble and schist, probably along a high-angle fault that strikes west and is nearly coincident with the lithologic contact (Herreid, 197, figure 8).  Surface rubble locally contains more than 30",A few surface prospecting pits to 6 or 8 feet deep are present here.,,"Brobst, D.A., Pinckney, D.M., and Sainsbury, C.L., 1971, Geology and geochemistry of the Sinuk River barite deposits, Seward Peninsula, Alaska:  U.S. Geological Survey Professional Paper 750-D, p. D1-D8. |Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney,",C.C. Hawley and Travis L. Hudson,10/22/1999,Late Cretaceous or Early Tertiary; post mid-Cretaceous metamorphism.,"Hawley Resource Group, Inc.",,"Shallit (1942) estimated that 40,000 long tons of rock are present that contain 20 to 40 percent iron with minor manganese (also see Mulligan and Hess, 1965, p. 18).","Herreid, 1970",64.776237,-165.872778,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM015,10307909,Sinuk River,"Sinuk River is the major drainage along the southwest flank of the Kigluaik Mountains.  Collier and others (1908, plate X) show the river to be gold-bearing for several miles downstream from Rulby Creek, a small east tributary (NM016).  This location is t",NM,D-2,Au,,Gold,,Prospects,Probably inactive,Undetermined,"Placer Au (Cox and Singer, 1986; model 39a).",39a,,"The Sinuk River is the major drainage along the southwest flank of the Kigluaik Mountains.  Collier and others (1908, plate X) show the river to be gold-bearing for several miles downstream from Rulby Creek, a small east tributary (NM016).  The placer dep","Sinuk River was probably worked on a small scale prior to WWI.  Production figures are not available, but some gold was probably produced by pan, rocker, or other small-scale operations.",,"Collier, A.J., Hess, F.L., Smith, P.S., and Brooks, A.H., 1908, The gold placers of parts of Seward Peninsula, Alaska, including the Nome, Council, Kougarok, Port Clarence, and Goodhope precincts:  U.S. Geological Survey Bulletin 328, 343 p.|Kaufman, D.S.",C.C. Hawley and Travis L. Hudson,10/22/1999,Holocene.,"Hawley Resource Group, Inc.",,,"Collier and others, 1908",64.749736,-165.855475,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM016,A012866,Rulby Creek,"Rulby Creek is a small east tributary to Sinuk River (NM015).  The mouth of Rulby Creek is 0.6 mile downstream of the mouth of American Creek.  It is locality 68 of Cobb (1972 [MF 463], 1978 [OFR 78-93]).",NM,D-2,Au,,Gold,,Mine,Inactive,Yes; small,"Placer Au (Cox and Singer, 1986; model 39a).",39a,,"Rulby Creek was prospected and produced a little placer gold in the early 1900's (Collier and others, 1908).  The creek flows across a higher gravel deposit, probably glacial, that carries small amounts of gold. This locality is within an area of iron and","Some gold was produced by pan, rocker, or other small scale operations in the early 1900's.",,"Cobb, E.H., 1972, Metallic mineral resources map of the Nome quadrangle, Alaska:  U.S. Geological Survey Miscellaneous Field Studies Map MF-463, 2 sheets, scale 1:250,000.|Cobb, E.H., 1978, Summary of references to mineral occurrences (other than mineral",C.C. Hawley and Travis L. Hudson,10/22/1999,Quaternary.,"Hawley Resource Group, Inc.",,,"Collier and others, 1908",64.775538,-165.784777,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM017,A012779,Monarch,"The Monarch prospect is at the head of an unnamed northwest-flowing tributary of the Sinuk River.  It is mainly in the W1/2 section 33, T. 8 S., R. 35 W., Kateel River Meridian.  It is 1.5 miles southwest of the Mogul prospect  (NM020) and accurately loca",NM,D-2,Fe,"Au, Mn, Pb, Zn","Goethite, hematite, limonite, pyrolusite",Dolomite,Prospect,Probably inactive,None,"Carbonate-hosted, iron oxide deposit.",,Dolomitization and oxidation.,"The Monarch prospect occurs in marble overlying mica schist; it is the largest of the iron deposits of the Sinuk River region.  The main Monarch prospect (called the East Gap) contains abundant limonite and some hematite in an area about 2,000 feet long a","Open cuts, a shallow shaft, and a short adit were driven before 1914. There are at least 12 patented claims over this prospect (Mulligan and Hess, 1965).",,"Brobst, D.A., Pinckney, D.M., and Sainsbury, C.L., 1971, Geology and geochemistry of the Sinuk River barite deposits, Seward Peninsula, Alaska:  U.S. Geological Survey Professional Paper 750-D, p. D1-D8. |Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney,",C.C. Hawley and Travis L. Hudson,10/22/1999,Late Cretaceous or Early Tertiary; post mid-Cretaceous metamorphism.,"Hawley Resource Group, Inc.",,"Shallit (1942; Mulligan and Hess, 1965, table 3) estimated that this prospect contains 50,000 long tons of 30 to 45 percent iron and about 500,000 tons of 15 to 25 percent iron.  Most of the iron ore has only 1 percent or less of manganese, but Mulligan a","Herreid, 1970",64.751838,-165.777674,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM018,A012778,Tub Mountain,"The Tub Mountain prospect is on hill 956 in the SW1/4NW1/4 section 22, T. 8 S., R 35 W., Kateel River Meridian.  It is 1.25 miles southwest of the confluence of Stewart and Sinuk Rivers and about 0.8 mile south of Sinuk River. The prospect is locality 6 o",NM,D-2,Fe,Mn,"Goethite, hematite, limonite [so called], pyrite","Calcite, dolomite, quartz",Prospect,Inactive,None,"Carbonate-hosted, iron oxide deposit.",,Dolomitization and oxidation.,"The Tub Mountain prospect is a limonite-rich deposit about 300 by 600 feet that appears to be localized along high-angle faults in marble (Herried, 1970).  It is one of several similar deposits in the area (see NM014, NM014, NM017, NM019, and NM020).  The","Surface prospecting pits, dating to before WWI, are present.",,"Brobst, D.A., Pinckney, D.M., and Sainsbury, C.L., 1971, Geology and geochemistry of the Sinuk River barite deposits, Seward Peninsula, Alaska:  U.S. Geological Survey Professional Paper 750-D, p. D1-D8. |Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney,",C.C. Hawley and Travis L. Hudson,10/22/1999,Late Cretaceous or Early Tertiary; post mid-Cretaceous metamorphism.,"Hawley Resource Group, Inc.",,"Shallit (1942; table 3, Mulligan and Hess, 1965) estimated that the Tub Mountain prospect includes 8,000 long tons of rock containing 10 to 20 percent iron.","Herreid, 1970",64.781939,-165.751877,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM019,10307910,Unnamed (at head of Rulby Creek),This occurrence is about 0.8 mile south of the Tub Mountain prospect (NM018) near the head of Rulby Creek (NM016).  The occurrence is at an elevation of 760 feet and is accurately located from Herreid (1970).,NM,D-2,Fe,,Limonite,,Occurrence,Probably inactive,None,"Carbonate-hosted, iron oxide deposit.",,Dolomitization and oxidation.,"This limonite occurrence is about 0.8 mile south of the Tub Mountain prospect (NM018).  It is a few hundred feet across (Herreid, 1970) and one of several carbonate-hosted, iron-rich deposits in the area (NM014, NM014, NM017, NM018, and NM020).  The limon",There may be small prospecting pits at this locality.,,"Brobst, D.A., Pinckney, D.M., and Sainsbury, C.L., 1971, Geology and geochemistry of the Sinuk River barite deposits, Seward Peninsula, Alaska:  U.S. Geological Survey Professional Paper 750-D, p. D1-D8. |Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney,",C.C. Hawley and Travis L. Hudson,10/22/1999,Late Cretaceous or Early Tertiary; post mid-Cretaceous metamorphism.,"Hawley Resource Group, Inc.",,,"Herreid, 1970",64.771639,-165.739876,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM020,A012780,Mogul,The Mogul prospect is on a rolling hill south of the divide between Trinity Creek to the west and Durrant Creek to the east.  It is about 1.5 miles northeast of the Monarch prospect (NM017) and 1.5 miles south-southeast of the Tub Mountain prospect (NM018,NM,D-2,Fe,,Limonite,,Prospect,Probably inactive,None,"Carbonate-hosted, iron oxide deposit.",,Dolomitization and oxidation.,"The Mogul prospect includes four small concentrations of limonite at or near a contact of marble and schist (Herreid, 1970, figure 1).  This prospect is one of several carbonate-hosted, iron-rich deposits in the area (NM014, NM014, NM017, NM018, and NM019",There may be small prospecting pits at this locality.,,"Brobst, D.A., Pinckney, D.M., and Sainsbury, C.L., 1971, Geology and geochemistry of the Sinuk River barite deposits, Seward Peninsula, Alaska:  U.S. Geological Survey Professional Paper 750-D, p. D1-D8. |Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney,",C.C. Hawley and Travis L. Hudson,10/22/1999,Late Cretaceous or Early Tertiary; post mid-Cretaceous metamorphism.,"Hawley Resource Group, Inc.",,"Shallit (1942); Mulligan and Hess, 1965, table 3) estimated that the Mogul prospect contains 5,000 long tons of rock with 10 to 20 percent iron.","Herreid, 1970",64.761139,-165.734075,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM062,D002568; A012799,California; Connolly and Jensen (or Jannsen),The California mine is in the headwaters of Goldbottom Creek.  The main workings are in and near a west-flowing unnamed tributary at the end of the jeep trail at the north end of the Snake River road.  This tributary was called Henry Gulch by Cathcart (19,NM,D-1,Au,"Ag, Mo, Sb, W","Arsenopyrite, gold, molybdenite (?), scheelite, stibnite",Quartz,Mine,Probably inactive,Yes; small,"Low sulfide Au-quartz veins (Cox and Singer, 1986; model 36a).",36a,Extensive iron-staining of the host schist reflects oxidized pyrite or arsenopyrite.,"The California vein was discovered and developed before 1908 (Smith, 1908; Chapin, 1914 [B 592-L, p. 397-407]; Mertie, 1918 [B 451-458]).  It is localized in a subsidiary shear zone to a north- to northeast-striking regional fault.  The lode is exposed in","The California lode was developed by a 70-foot decline that was reported to be in vein material to a depth of 33 feet.  There are shallow pits, including a pit on the marble-schist contact about 250 feet east of  the California incline.  This pit has abun",Complex target within major shear zone.,"Amato, J.M., and Wright, J.E., 1997, Potassic mafic magmatism in the Kigluaik gneiss dome, northern Alaska--A geochemical study of arc magmatism in an extensional tectonic setting: Journal of Geophysical Research, v. B102, no. 4, p. 8065-8084.|Amato, J.M.",C.C. Hawley and Travis L. Hudson,10/22/1999,Mid-Cretaceous?; structures controlling deposits post-date regional metamorphism - mineralization could be similar in age to other lode gold deposits of Seward Peninsula.,"Hawley Resource Group, Inc.","Small production in early 1900's, also some probably about 1937-38.",,"Mertie, 1918",64.769044,-165.451873,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM063,10307934,Unnamed (lode near Fred Creek),"Mineralized schist occurs about 600 feet southwest of upper Fred Creek (Gulch) in the approximate center of the SW1/4NE1/4 section 19, T. 8 S., R. 33 W., Kateel River Meridian.  The location is accurate to within 250 feet of the coordinates.",NM,D-1,Au,As,"Gold (?), hematite",,Prospect,Probably inactive,None,"Possible low sulfide, Au-quartz vein (Cox and Singer, 1986; model 36a).",36a?,Oxidation; possible development of secondary layered silicates; sulfidation of contact zone.,The basal contact zone of massive marble with schist is mineralized at this locality.  The mineralized rock is hematized schist that is anomalous in gold and arsenic; arsenic is inferred to be present in a secondary mineral oxidized from arsenopyrite.  Th,The area was explored by Kennecott Exploration Company in 1994. Kennecott extended an earlier soil geochemistry survey that was confined to the immediate area of the California mine (NM062).  The extended survey found soils anomalous in gold and arsenic n,"Basal contact zone of massive marble is a favorable horizon in the Fred Creek area; also a major fault, probably related to the Penny River fault traverses the area.","Amato, J.M., and Wright, J.E., 1997, Potassic mafic magmatism in the Kigluaik gneiss dome, northern Alaska--A geochemical study of arc magmatism in an extensional tectonic setting: Journal of Geophysical Research, v. B102, no. 4, p. 8065-8084.|Amato, J.M.",C.C. Hawley and Travis L. Hudson,10/22/1999,Mid-Cretaceous?; structures controlling deposits post-date regional metamorphism - mineralization could be similar in age to other lode gold deposits of Seward Peninsula.,"Hawley Resource Group, Inc.",,,This report,64.781745,-165.438274,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
